study_r,location,n,distribution,transmission_parameter,distribution_parameter,dist_par_r,central_measure,uncertainty_95_percent_ci,source
mca,,Metanalysis of 8 studies,Lognormal,IP,Lognormal meanlog,ln_ml,1.63,1.51-1.75,https://www.medrxiv.org/content/10.1101/2020.04.24.20073957v1
mca,,Metanalysis of 8 studies,Lognormal,IP,SD,SD,3,2.68-3.34,https://www.medrxiv.org/content/10.1101/2020.04.24.20073957v2
mca,,Metanalysis of 8 studies,Lognormal,IP,95th percentile,95th percentile,11.6,9.5-14.2,https://www.medrxiv.org/content/10.1101/2020.04.24.20073957v3
mca,,Metanalysis of 8 studies,Lognormal,IP,Lognormal Sdlog,ln_sdl,0.5,0.45-0.55,https://www.medrxiv.org/content/10.1101/2020.04.24.20073957v4
mca,,Metanalysis of 8 studies,Lognormal,IP,median,median,5.1,4.5-5.8,https://www.medrxiv.org/content/10.1101/2020.04.24.20073957v5
mca,,Metanalysis of 8 studies,Lognormal,IP,mean,mean,5.8,5.01-6.69,https://www.medrxiv.org/content/10.1101/2020.04.24.20073957v6
bi,Shenzen China,48 pairs,Gamma,SI,SD,sd,4.2,3.1-5.3,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30287-5/fulltext
bi,Shenzen China,48 pairs,Gamma,SI,95th percentile,95th percentile,14.3,11.1-17.6,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30287-5/fulltext
bi,Shenzen China,48 pairs,Gamma,SI,Gamma shape,g_sh,2.25,NA,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30287-5/fulltext
bi,Shenzen China,48 pairs,Gamma,SI,Gamma rate,g_r,0.3571429,NA,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30287-5/fulltext
bi,Shenzen China,48 pairs,Gamma,SI,mean,mean,6.3,5.2-7.6,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30287-5/fulltext
cereda,Lombardy Italy,90 pairs,Gamma,SI,95th percentile,95th percentile,16.1,NA,https://arxiv.org/abs/2003.09320
cereda,Lombardy Italy,90 pairs,Gamma,SI,median,median,5.5,NA,https://arxiv.org/abs/2003.09320
cereda,Lombardy Italy,90 pairs,Gamma,SI,gamma shape,g_sh,1.87,NA,https://arxiv.org/abs/2003.09320
cereda,Lombardy Italy,90 pairs,Gamma,SI,gamma rate,g_r,0.28,NA,https://arxiv.org/abs/2003.09320
cereda,Lombardy Italy,90 pairs,Gamma,SI,mean,mean,6.6,0.7-19,https://arxiv.org/abs/2003.09320
cheng,Taiwan,12 pairs,Gamma,SI,Mean,mean,7,_3.69-13.18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7195694/
cheng,Taiwan,12 pairs,Gamma,SI,SD,sd,6.14,_3.19-14.09,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7195694/
cheng,Taiwan,12 pairs,Gamma,SI,Gamma shape,g_sh,1.37,_0.51-2.73,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7195694/
