Study,Location
Li et al.,Wuhan
Lavezzo et al.,N Italy
Ma et al.,Mixed
Wu et al.,Mixed
Cereda et al.,N Italy
Bi et al.,Shenzen
Ganyani et al. (S) gt,Singapore
He et al.,Mixed
Du et al. (b),MCNH
Ferretti et al. gt,Mixed
Ganyani et al. (S),Singapore
Ferretti et al.,Mixed
Zhang et al.(b),MCNH
Tindale et al. (S),Singapore
Nishiura et al. (n=18),Mixed
Wang and Teunis,Tianjin
Tindale et al. (T),Tianjin
Zhao et al.(b),Hong Kong and Shenzen
Nishiura et al. (n=28),Mixed
Zhao et al.(a) (n=21),Hong Kong
Ganyani et al. (T) gt,Tianjin
Ganyani et al. (T),Tianjin
Du et al. (a),MCNH
Ganyani et al. (Sn) gt,Singapore
Ganyani et al. (Sn),Singapore
Zhao et al.(a) (n=12),Hong Kong
Ganyani et al. (Tn) gt,Tianjin
Ganyani et al. (Tn),Tianjin
